date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:08:12	51/51	---M--	200	added ('OK')	text/plain	date:Sun,%2029%20Nov%202020%2009:52:44%20GMT	https://ivanvotti.com/robots.txt		(from )
11:08:12	150024/150024	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20Nov%202020%2009:52:44%20GMT	https://ivanvotti.com/	C:/Users/nabashidze/Desktop/portfolios/PORT/ivanvotti.com/index.html	(from )
11:08:12	51490/51490	---M-Z	200	added ('OK')	text/css	date:Sun,%2029%20Nov%202020%2009:52:44%20GMT	https://ivanvotti.com/styles.330ee8bf251cbaa91c20.css	C:/Users/nabashidze/Desktop/portfolios/PORT/ivanvotti.com/styles.330ee8bf251cbaa91c20.css	(from https://ivanvotti.com/)
11:08:13	92560/92560	---M-Z	200	added ('OK')	font/woff2	date:Sun,%2029%20Nov%202020%2009:52:44%20GMT	https://ivanvotti.com/fonts/Inter-Regular.woff2	C:/Users/nabashidze/Desktop/portfolios/PORT/ivanvotti.com/fonts/Inter-Regular.woff2	(from https://ivanvotti.com/)
11:08:14	125420/125420	---M-Z	200	added ('OK')	font/woff	date:Sun,%2029%20Nov%202020%2009:52:44%20GMT	https://ivanvotti.com/fonts/Inter-Regular.woff	C:/Users/nabashidze/Desktop/portfolios/PORT/ivanvotti.com/fonts/Inter-Regular.woff	(from https://ivanvotti.com/)
11:08:14	99100/99100	---M-Z	200	added ('OK')	font/woff2	date:Sun,%2029%20Nov%202020%2009:52:44%20GMT	https://ivanvotti.com/fonts/Inter-Medium.woff2	C:/Users/nabashidze/Desktop/portfolios/PORT/ivanvotti.com/fonts/Inter-Medium.woff2	(from https://ivanvotti.com/)
11:08:15	133564/133564	---M-Z	200	added ('OK')	font/woff	date:Sun,%2029%20Nov%202020%2009:52:44%20GMT	https://ivanvotti.com/fonts/Inter-Medium.woff	C:/Users/nabashidze/Desktop/portfolios/PORT/ivanvotti.com/fonts/Inter-Medium.woff	(from https://ivanvotti.com/)
11:08:15	99268/99268	---M-Z	200	added ('OK')	font/woff2	date:Sun,%2029%20Nov%202020%2009:52:44%20GMT	https://ivanvotti.com/fonts/Inter-SemiBold.woff2	C:/Users/nabashidze/Desktop/portfolios/PORT/ivanvotti.com/fonts/Inter-SemiBold.woff2	(from https://ivanvotti.com/)
11:08:16	133948/133948	---M-Z	200	added ('OK')	font/woff	date:Sun,%2029%20Nov%202020%2009:52:44%20GMT	https://ivanvotti.com/fonts/Inter-SemiBold.woff	C:/Users/nabashidze/Desktop/portfolios/PORT/ivanvotti.com/fonts/Inter-SemiBold.woff	(from https://ivanvotti.com/)
11:08:16	99404/99404	---M-Z	200	added ('OK')	font/woff2	date:Sun,%2029%20Nov%202020%2009:52:44%20GMT	https://ivanvotti.com/fonts/Inter-Bold.woff2	C:/Users/nabashidze/Desktop/portfolios/PORT/ivanvotti.com/fonts/Inter-Bold.woff2	(from https://ivanvotti.com/)
11:08:17	134424/134424	---M-Z	200	added ('OK')	font/woff	date:Sun,%2029%20Nov%202020%2009:52:44%20GMT	https://ivanvotti.com/fonts/Inter-Bold.woff	C:/Users/nabashidze/Desktop/portfolios/PORT/ivanvotti.com/fonts/Inter-Bold.woff	(from https://ivanvotti.com/)
11:08:17	223892/223892	---M-Z	200	added ('OK')	font/woff2	date:Sun,%2029%20Nov%202020%2009:52:44%20GMT	https://ivanvotti.com/fonts/Inter-upright.var.woff2	C:/Users/nabashidze/Desktop/portfolios/PORT/ivanvotti.com/fonts/Inter-upright.var.woff2	(from https://ivanvotti.com/)
11:08:17	1513/1513	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Nov%202020%2009:52:44%20GMT	https://ivanvotti.com/favicons/icon-32x32.png?v=ad6a97d7f0b6625eda7789f4e02e8801	C:/Users/nabashidze/Desktop/portfolios/PORT/ivanvotti.com/favicons/icon-32x32b5be.png	(from https://ivanvotti.com/)
11:08:18	1819/1819	---M-Z	200	added ('OK')	application/manifest+json	date:Sun,%2029%20Nov%202020%2009:52:44%20GMT	https://ivanvotti.com/manifest.webmanifest	C:/Users/nabashidze/Desktop/portfolios/PORT/ivanvotti.com/manifest.webmanifest	(from https://ivanvotti.com/)
11:08:18	2170/2170	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Nov%202020%2009:52:44%20GMT	https://ivanvotti.com/favicons/icon-48x48.png?v=ad6a97d7f0b6625eda7789f4e02e8801	C:/Users/nabashidze/Desktop/portfolios/PORT/ivanvotti.com/favicons/icon-48x48b5be.png	(from https://ivanvotti.com/)
11:08:18	2614/2614	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Nov%202020%2009:52:44%20GMT	https://ivanvotti.com/favicons/icon-57x57.png?v=ad6a97d7f0b6625eda7789f4e02e8801	C:/Users/nabashidze/Desktop/portfolios/PORT/ivanvotti.com/favicons/icon-57x57b5be.png	(from https://ivanvotti.com/)
11:08:18	2782/2782	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Nov%202020%2009:52:44%20GMT	https://ivanvotti.com/favicons/icon-60x60.png?v=ad6a97d7f0b6625eda7789f4e02e8801	C:/Users/nabashidze/Desktop/portfolios/PORT/ivanvotti.com/favicons/icon-60x60b5be.png	(from https://ivanvotti.com/)
